,Redshift_Ledge,Redshift_mid,Bin_width,dndz/deg^2
0,0.0,0.21875,0.4375,136.151370213278
1,0.4375,0.45,0.025000000000000022,150.93703937671077
2,0.4625,0.5,0.07499999999999996,125.78086614725916
3,0.5375,0.575,0.07499999999999996,53.90608549168249
4,0.6124999999999999,0.6499999999999999,0.07499999999999996,190.46816873727812
5,0.6874999999999999,0.7249999999999999,0.07499999999999996,1067.3404927353133
6,0.7624999999999998,0.7999999999999998,0.07499999999999996,2023.275075454483
7,0.8374999999999998,0.8749999999999998,0.07499999999999996,2177.8058538639725
8,0.9124999999999998,0.9499999999999997,0.07499999999999996,2192.180809995088
9,0.9874999999999997,1.0249999999999997,0.07499999999999984,1588.4326524882465
10,1.0624999999999996,1.0999999999999996,0.07500000000000018,1318.902225029828
11,1.1374999999999997,1.1749999999999996,0.07499999999999973,1326.089703095393
12,1.2124999999999995,1.2499999999999996,0.07500000000000018,1013.4344072436278
13,1.2874999999999996,1.3249999999999995,0.07499999999999973,945.1533656208359
14,1.3624999999999994,1.3999999999999995,0.07500000000000018,830.153716571908
15,1.4374999999999996,1.4749999999999994,0.07499999999999973,707.9665894574322
16,1.5124999999999993,1.5499999999999994,0.07500000000000018,452.8111181301316
17,1.5874999999999995,1.6249999999999993,0.07499999999999973,197.65564680283637
18,1.6624999999999992,1.6999999999999993,0.07500000000000018,10.781217098336466
